nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Egg Roll Cheese,1 porsi (35 g),180,9g,22g,3g,,"13,00g"
Kids Cheese Stick,1 stick (18 g),53,4g,0g,3g,,"0,00g"
Gourmet Slices,"1 slice (16,7 g)",52,"4,2g","0,5g","2,9g",,"2,90g"
Korean Garlic Cheese Bread,1 porsi (53 g),199,14g,12g,6g,,"12,00g"
Cheese Bread,1 slice (50 g),71,1g,12g,2g,,
Singles Keju,1 bungkus (65 g),130,7g,6g,10g,,"6,00g"
Potabee Melted Cheese,1 bag (35 g),200,13g,18g,2g,,"2,00g"
Processed Cream Cheese Spread,1 porsi (15 g),45,"4,5g",0g,1g,,"1,00g"
Cheese Pie,1 bungkus (60 g),260,16g,26g,4g,,"4,00g"
Edam Cheese Cookies,1 serving (30 g),140,7g,19g,2g,,"19,00g"
Mozarella,1 porsi (20 g),70,6g,2g,3g,"0,0g","0,000g"
Processed Cream Cheese,1 porsi (16 g),50,5g,1g,1g,,"1,00g"
lunch,1 serving,468,12g,50g,40g,,"6,0g"
Roti Gulung Keju,1 sajian (38 g),140,6g,20g,3g,,"20,00g"
Mie Goreng Keju Pedas Level 5,1 porsi (69 g),280,15g,42g,7g,,0mg
Cheese Sauce,1 porsi (15 g),35,2g,3g,1g,0mg,"1,00g"
Cheese Pie,1 sajian kemasan (60 g),260,16g,26g,4g,240mg,"4,00g"
Momogi Keju,1 porsi (5 g),30,2g,3g,0g,,"3,00g"
Gold Slice,1 slice (13 g),45,"3,5g",3g,1g,190mg,"0,000g"
Sandwich Cheese Cake,1 pack (50 g),150,6g,21g,3g,,"3,00g"
Roti Sobek Cheese & Spicy Cheese,1 porsi (104 g),310,10g,46g,9g,,"9,00g"
Shirataki Double Beef Burger,1 burger,571,"39,84g",3g,"50,17g",,
Steam Cake Cheese Flavor,1 steam cake  (80 g),300,14g,40g,4g,,"4,00g"
Nabati Bites Richoco,"1 takaran saji (7,5 g)",35,"1,5g",5g,0g,,"5,00g"
Macaroni Cheese,1 porsi (30 g),111,"1,4g","20,1g","3,8g",,"20,10g"
Roti Panggang Rasa Keju,1 bungkus (38 g),140,6g,20g,3g,"2,0g","0,000g"
Chiki Puffs,1 porsi (10 g),50,3g,6g,1g,,"6,00g"
Blue Cheese Salad Dressing,2 sdm (20 g),50,5g,2g,0g,,0mg
Bella Cheese,1 porsi  (30 g),170,11g,17g,2g,,"2,00g"
Shirataki Chicken Double Cheese Burger,1 serving,355,"22,94g",3g,"34,17g",,
Keju Oles Olahan,1 sajian (15 g),36,"2,8g",1g,"1,7g",,"1,70g"
Mozza Cheese Slice,1 takaran saji (15 g),45,3g,2g,2g,"0,0g","0,000g"
Bakso Keju,1 takaran saji (48 g),70,"3,5g",2g,7g,,"2,00g"
All-In-1 Slices,1 porsi (17 g),50,3g,3g,2g,,"2,00g"
Extra Tasty,100 g,410,"34,7g","0,9g","24,8g",,"0,90g"
Nabati Wafer Keju,3 buah wafer (10 g),50,2g,7g,1g,,"7,00g"
