nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Ayam Goreng Kalasan,"1 porsi (13,7 g)",50,"1,5g",9g,1g,750mg,0mg
Ayam Goreng Belacan,1 porsi (5 g),15,0g,3g,1g,400mg,0mg
Bihun Goreng Ayam,1 porsi (150 g),455,"17,04g","54,79g","17,73g",,"54,79g"
Bumbu Ayam Goreng,"1 porsi (8,3 g)",15,"0,5g",1g,1g,,"1,00g"
Kaki Ayam Goreng tanpa Pelapis (Kulit Dimakan),"1 kecil (hasil setelah masak, tulang dihilangkan)",230,"13,6g",0g,"25,13g",0g,"5,339g"
Dada Ayam Panggang atau Goreng Dilapisi Kulit,"1/2 kecil (hasil setelah masak, tulang dihilangkan)",313,"15,92g","11,38g","29,36g","0,26g","6,628g"
Nasi Goreng Ayam,1 mangkok,329,"11,96g","41,82g","12,45g","1,39g","5,201g"
Usus Ayam Goreng,100 gram (g),345,"21,69g","19,84g","17,78g","0,26g","5,684g"
Ayam Goreng,100 gram (g),260,"14,55g","10,76g","21,93g","0,26g","2,808g"
Soto Ayam,1 mangkok,312,"14,92g","19,55g","24,01g","0,98g","5,738g"
Mie Ayam,1 mangkok,421,"18,74g","46,21g","16,7g","2,5g","5,207g"
Cumi Goreng,1 buah,12,"0,21g","0,96g","1,47g","0,06g","0,036g"
Terong Goreng,100 gram (g),148,"10,75g","11,58g","2,4g","2,41g","4,569g"
Nasi Goreng,1 mangkok,333,"12,34g","41,7g","12,47g","1,5g","3,776g"
Ikan Mujair Goreng,100 gram (g),169,"6,92g","2,22g","24,55g","0,19g","3,45g"
Ayam Panggang,"1 potong sedang (hasil setelah masak, tulang dihilangkan)",147,"8,36g",0g,"16,79g",0g,"3,283g"
Nasi Goreng tanpa Daging,1 mangkok,251,"9,1g","34,81g","7,02g","1,86g","2,681g"
Telur Goreng tanpa Lemak,1 besar,73,"4,93g","0,38g","6,24g","0,38g","1,89g"
Pangsit Goreng,1 buah,69,"3,77g","6,09g","2,52g","0,48g","2,004g"
Mie Ayam,1 porsi (190 g),360,"16,15g","49,87g","5,9g",,
Mi Goreng,1 bungkus (80 g),380,12g,52g,8g,680mg,0mg
Minyak Goreng,1 sdm (9 ml),70,8g,0g,0g,0mg,0mg
Kornet Ayam,1 takar saji (83 g),130,7g,3g,13g,"0,0g","0,000g"
Kari Ayam,1 bungkus (70 g),300,5g,54g,8g,,"8,00g"
Ayam Bawang,1 porsi (71 g),30,0g,7g,0g,"1,0g","0,000g"
Minyak Goreng,1 sendok makan (10 ml),80,9g,0g,0g,"0,0g","1,000g"
Mie Goreng,3 sendok makan (60 g),280,12g,38g,5g,,"5,00g"
Abon Ayam,1 porsi (25 g),110,5g,10g,7g,,"7,00g"
Nasi Goreng,1 porsi,680,13g,113g,28g,,"113,00g"
Mie Goreng,1 porsi (60 g),290,13g,37g,6g,,"6,00g"
Minyak Goreng,1 porsi (13 ml),120,13g,0g,0g,,"0,00g"
Kwetiau Goreng,100 g,338,"12,3g",18g,3g,,"3,0g"
Mi Goreng,1 bungkus (80 g),320,7g,58g,7g,640mg,0mg
Mie Goreng,1 bungkus (18 g),90,4g,12g,1g,,"12,00g"
Goreng Special,1 bungkus (60 g),230,4g,47g,2g,,"2,00g"
Nasi Goreng,100 g,168,"6,23g","21,06g","6,3g",,"8,00g"
Pisang Goreng,1/2 porsi (95 g),250,8g,41g,3g,,"41,00g"
Pangsit Goreng,1 porsi (100 g),69,"3,77g","6,09g","2,52g","0,2g","2,004g"
Kentang Goreng,100 g,180,"4,5g",31g,4g,,"4,00g"
Minyak Goreng,1 porsi (11 ml),90,10g,0g,0g,,"5,000g"
Mie Goreng,1 bungkus (78 g),370,16g,49g,7g,,"7,00g"
Minyak Goreng,1 sdm (11 ml),90,10g,0g,0g,,"1,000g"
Mie Goreng,1 bungkus (90 g),400,13g,61g,10g,1000mg,0mg
Mie Goreng,"1 porsi (11,25 g)",35,1g,6g,1g,,"1,0g"
