nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Nasi Porang,1 porsi (40 g),28,0g,32g,3g,"0,00g","0,000g"
Pek Cam Kee,1 porsi,410,18g,39g,"31,9g",,
Basmati Rice Spaghetti,1 porsi (56 g),203,"0,3g","46,1g","3,8g",10mg,"3,80g"
Lontong Sayur,1 mangkok,357,"8,39g","59,1g","11,11g",258mg,41mg
Beras Pilaf,1 mangkok,258,"6,67g","44,43g","4,26g",781mg,0mg
Chicken Bowl,1 bowl (553 g),610,12g,94g,33g,0mg,"33,00g"
Nasi Siap Saji dengan Daging Sapi Yakiniku,1 takaran saji (280 g),430,14g,64g,12g,,"5,00g"
Nasi Merah Instan,"1 mangkok,masak",233,"1,89g","48,29g","5,43g",638mg,0mg
Perencah Nasi Goreng,1 porsi (15 g),35,1g,5g,1g,0mg,"1,00g"
Rasa Ayam,1 bungkus (45 g),190,5g,32g,3g,,"2,00g"
Red Char Siu Chick,1 porsi,451,"6,34g","61,66g","35,01g",,
Hoka Diet,1 porsi,490,14g,50g,41g,,
Bento Special 2,1 porsi,607,"22,6g","57,7g","41,6g",,
Bacang,1 buah,270,"3,26g","51,35g","7,53g",304mg,131mg
Nasi Daging Ayam Teriyaki,1 porsi (270 g),470,6g,82g,21g,,"82,00g"
Paket B,1 porsi,522,"22,4g","52,8g","26,3g",,
Tape Ketan Putih,100 gram (g),172,"0,28g","37,94g","3,25g",5mg,0mg
Shirataki Nasi Pedas Ayam Suwir Kemangi,1 porsi,313,10g,21g,33g,,
Arem-arem,1 buah,186,"8,25g","21,33g","6,96g","2,02g","1,526g"
Nasi Hitam,100 gram (g),260,"2,9g","50,59g","7,87g",5297mg,3mg
Bubur Sapi,1 porsi (125 g),30,0g,3g,4g,,
Beras Hitam,1 porsi (85 g),200,2g,43g,6g,,51mg
Rice Mix BBQ,1 porsi (10 g),60,7g,0g,0g,,"0,00g"
Japanese Fish Rice Box,1 porsi,447,11g,49g,38g,,
Batavia Bowl,1 porsi,393,13g,34g,35g,,
Beef Pepper Rice,1 porsi,500,11g,50g,40g,0mg,"40,00g"
Lontong,100 g,144,"0,23g","31,76g","2,76g",123mg,0mg
Bento,1 box,470,"9,06g","76,14g","18,24g","2,86g","3,763g"
Midi Skinny Minang,1 porsi,234,6g,24g,21g,,
Nasi Meksiko,1 mangkok,199,"8,38g","28,57g","3,35g",487mg,0mg
Salmon Mushroom Risotto with Shirataki,1 porsi,440,30g,17g,26g,,
Lemper,1 buah,133,"5,59g","14,91g","5,98g",130mg,13mg
Nasi Tim Ayam Tomat Wortel,2 sachet (50 g),200,4g,38g,6g,,"2,00g"
Rice Vermicelli Thai Tom Yum,100 g,200,4g,36g,4g,,
Rice,1 porsi,240,0g,55g,6g,,
Midi Nasi Uduk Shirataki Bowl,1 porsi,190,11g,10g,21g,,
Hoka Hemat 2,1 porsi,464,"18,2g","52,9g","20,6g",,
Midi Tokyo Bowl,1 serving,265,11g,25g,17g,,
Hai Rice Chick,1 serving,359,"8,27g","42,05g","30,86g",,
Shirataki Nasi Pedas Ayam Suwir Kemangi,1 porsi,311,11g,19g,32g,,
Shirataki Nasi Oseng Sapi Mercon,1 porsi,439,26g,18g,32g,,
Korean Buldak Chicken Bowl,1 porsi,338,10g,33g,29g,,
Geprek Bugar,1 porsi (400 g),445,16g,26g,45g,,
Nasi Goreng Udang,1 mangkok,321,"11,6g","41,88g","10,95g",925mg,127mg
