nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Fresh Milk Chocolate (125ml),1 box (125 g),120,"4,5g",14g,5g,,"10,00g"
Lychee Flavor,1 botol (200 ml),120,0g,28g,2g,"24,00g","0,000g"
Susu Murni,1 gelas (150 ml),120,5g,14g,5g,,"12,00g"
Tahu Susu,100 gram (g),100,"4,2g","3,45g","11,75g","1,3g","1,195g"
Actifit Cokelat,1 gelas (40 g),160,5g,21g,8g,,"8,00g"
Susu Coklat Panas,1 cangkir,192,"5,82g","26,58g","8,8g","2,5g","0,085g"
Full Cream Milk,100 ml,130,7g,9g,6g,90mg,20mg
Susu Skim,100 ml,49,"1,7g","4,98g","3,43g","5,34g","0,459g"
Milo,1 kemasan (190 ml),120,4g,17g,3g,,4mg
Milkis,1 can (250 ml),130,0g,31g,0g,,0mg
Susu UHT Full Cream,1 gelas (250 ml),150,8g,12g,8g,490mg,"8,00g"
Susu,1 gelas (45 g),180,4g,26g,10g,120mg,7mg
Uht Full Cream,1 porsi (200 ml),120,6g,10g,6g,240mg,20mg
Fresh Milk,100 ml,65,4g,"4,5g",3g,50mg,40mg
Thai Milk Green Tea,1  botol (310 ml),210,6g,25g,4g,,"21,00g"
Susu dengan Lemak yang telah Dikurangi,1 gelas,122,"4,81g","11,42g","8,05g","12,35g","1,366g"
Susu Almond,1 gelas,40,"3,58g","1,4g","1,51g","0,34g","2,279g"
Choco Melt,100 ml,210,16g,15g,3g,30mg,5mg
Actifit Original,1 porsi (30 g),110,1g,18g,7g,0mg,5mg
Iced Coffee Latte with Almond Milk,1 porsi (180 ml),80,"4,5g",8g,1g,,"8,00g"
Yogurt Drink Strawberry,1 porsi (70 ml),50,0g,10g,2g,,"2,0g"
Krimer Kental Manis,2 sdm (30 g),100,"3,5g",17g,1g,,"17,00g"
White Chocolate,1 gelas (14 g),60,"1,5g",12g,0g,,"12,00g"
Susu Zee,1 bedak wangi (40 g),150,4g,22g,6g,100mg,10mg
Milk Candy,"1 piece (4,5 g)",20,0g,4g,0g,,"3,00g"
Whipping Cream,100 ml,335,"35,5g","3,1g","2,4g","3,10g","0,700g"
Susu Evaporasi,1 porsi (40 g),50,"2,5g",5g,2g,,"5,00g"
Prenagen Esensis,1 gelas (35 g),130,1g,24g,6g,140mg,5mg
Chil Go Cokelat,1 botol (130 ml),90,2g,15g,4g,,"4,00g"
Purefarm Low Fat Californian Strawberry,1 kemasan (225 g),150,"2,5g",24g,7g,400mg,5mg
Coffee Flavor Nutritious Drink,2 bedak wangi (50 g),200,4g,28g,13g,,"2,0g"
Milky Strawberry,1 gelas (180 ml),110,3g,16g,4g,75mg,10mg
2 Go,1 kemasan  (200 ml),120,"2,5g",12g,12g,310mg,0mg
Susu Coklat (Lemak telah Dikurangi),1 gelas,190,"4,75g","30,32g","7,48g","23,88g","1,138g"
Low Fat Milk,1 cup (200 ml),90,2g,10g,6g,,8mg
Peptisol,1 porsi (63 g),250,3g,43g,14g,130mg,0mg
Soybean Milk Unsweetened,1 botol (300 ml),70,2g,6g,7g,,"6,00g"
Bear Brand Gold White Malt,1 kaleng (140 ml),110,"1,5g",19g,4g,,6mg
Active Vanilla,1 gelas (35 g),130,1g,24g,6g,280mg,0mg
Soya Bean Milk,100 ml,75,"3,4g","8,4g","3,2g","6,00g","1,100g"
Impact Whey Protein Vanilla,1 scoop (25 g),103,"1,8g","1,6g",20g,,"1,60g"
Susu Rendah Lemak,1 mangkok,102,"2,37g","12,18g","8,22g","12,69g","0,676g"
Susu (2% Rendah Lemak dengan Tambahan Vitamin A),1 gelas,122,"4,81g","11,42g","8,05g","12,35g","1,366g"
Swizz Chocolate,1 bungkus (50 g),180,6g,26g,5g,,"5,00g"
Isomass Xtreme Gainer,3 skop (153 g),650,7g,80g,65g,,"65,00g"
Lose Weight Chocolate Cereal,2 sachet (50 g),200,4g,26g,15g,260mg,0mg
Original,1 porsi (200 ml),130,0g,29g,2g,,"26,00g"
Sereal 2 in 1,1 porsi (24 g),100,2g,20g,1g,,"0,0g"
WRP On The Go,1 sachet (200 ml),150,3g,24g,7g,130mg,8mg
Susu UHT Rasa Moka,1 kotak (200 ml),150,"3,5g",22g,7g,,"7,00g"
Hi-Calcium Skimmed Milk,1 gelas (250 ml),90,0g,11g,11g,"8,00g","0,000g"
Susu Kedelai,100 ml,54,"1,99g","5,1g","4,64g","0,52g","0,396g"
Banana Milk,1 porsi (200 ml),160,6g,22g,5g,85mg,20mg
Susu Bubuk Full Cream,3 sendok makan (25 g),120,7g,10g,5g,,"5,00g"
Susu Coklat,1 glass (200 ml),160,"4,5g",22g,6g,,"6,00g"
Gold Plus,1 porsi (35 g),115,"0,5g",17g,10g,85mg,5mg
Carnivor,1 sendok (37 g),124,0g,8g,23g,44mg,0mg
Pro Gainer,2 scoops (60 g),243,4g,37g,13g,,"13,00g"
Pulmosol,100 g,480,22g,48g,25g,"2,6g","5,000g"
F1 Shake Mix Wild Berry,2 scoops (25 g),100,1g,13g,9g,,"9,00g"
Mini,1 botol (63 ml),35,0g,8g,0g,,0mg
Milk Tea,1 botol (200 ml),110,"3,5g",19g,2g,,"1,0g"
Low Fat Milk (250ml),1 porsi (250 ml),110,3g,12g,9g,95mg,5mg
Susu UHT Stroberi,1 kotak (125 ml),100,2g,14g,4g,,"4,00g"
Susu UHT Rasa Mangga,1 porsi (190 ml),140,"4,5g",20g,5g,220mg,4mg
Meal Replacement Strawberry,1 bungkus (54 g),210,"1,5g",35g,14g,260mg,0mg
Milk Melon Cone,1 takaran saji (100 ml),170,10g,18g,2g,20mg,0mg
Malt with Cereal Banana,1 porsi (200 ml),200,3g,41g,4g,0mg,0mg
Matcha Green Tea Latte with Walnut Milk,1 porsi (180 ml),60,5g,3g,1g,,"3,00g"
Champion,1 bungkus (35 g),150,4g,28g,2g,,"2,00g"
Marie Susumadu,1 porsi (30 g),120,2g,24g,2g,,"2,00g"
Almond Breeze Original,1 porsi (180 ml),45,2g,6g,1g,110mg,0mg
