nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Choco Chip Bread,1 lembar (50 g),190,6g,29g,5g,,"29,00g"
Roti Isi Pisang Coklat,1 porsi (70 g),230,6g,38g,5g,,"13,00g"
Klasik Sisir Mentega,1 potong (51 g),180,6g,28g,3g,,"28,00g"
Roll Kacang Merah Mentega,1 porsi (67 g),220,7g,33g,4g,,"33,00g"
Steam Cake Cheese Flavor,1 steam cake  (80 g),300,14g,40g,4g,,"40,00g"
Roti Gandum Tinggi Serat Pangan,2 lembar (70 g),180,"3,5g",31g,6g,,"31,00g"
Roti Panggang Pandan Sarikaya,1 bungkus (70 g),200,"4,5g",36g,6g,,"11,00g"
Italian Chicken Hamburg & Lemonade Fish Picatta with Aglio e Olio Pasta + Garlic Bread,1 serving,464,12g,49g,40g,,
Roti Sobek Cheese & Spicy Cheese,1 porsi (104 g),310,10g,46g,9g,,"46,00g"
White Danish,1 bungkus (60 g),250,14g,28g,4g,,"3,0g"
Chocolate Bread,1 bungkus (60 g),220,6g,36g,5g,,"36,00g"
Roti Panggang Rasa Buah Blueberry,1 sajian (38 g),140,5g,20g,3g,,"2,0g"
Roti Isi Krim,1 porsi (65 g),220,7g,36g,5g,,"9,00g"
Roti Panggang Rasa Keju,1 bungkus (38 g),140,6g,20g,3g,"6,00g","0,000g"
Caesar Chicken Burger,1 porsi,403,20g,32g,23g,,
Roll Cokelat,1 porsi (67 g),220,8g,34g,4g,,"34,00g"
Roti Tawar,2 lembar (80 g),230,"4,5g",40g,7g,,310mg
Sandwich Choco Lava,1 serving (50 g),150,"4,5g",24g,3g,,"24,00g"
Klasik Krim Messes,1 potong (46 g),150,4g,26g,4g,,"26,00g"
Milk Bread,1 porsi (40 g),120,2g,21g,4g,,600mg
Smoked Beef Mushroom Panini,1 porsi,425,19g,46g,19g,,
Roti Panggang Vanila Susu,1 bungkus (70 g),220,5g,40g,5g,,"8,00g"
Choco Roll,1 porsi (60 g),210,7g,33g,5g,,"12,00g"
Sobek Duo Cokelat Sarikaya,1 sajian (54 g),180,5g,30g,4g,,"30,00g"
Sobek Duo Cokelat Keju,1 porsi (53 g),170,5g,27g,4g,,"27,00g"
Steamed Banana Cheese Cake,1 kemasan (80 g),240,7g,39g,6g,,"39,00g"
Red Velvet Cake,1 porsi (88 g),430,26g,47g,4g,,
Roti Sobek Cokelat Stroberi,2 potong (107 g),340,9g,57g,8g,0mg,"8,00g"
White Danish,1 bungkus (60 g),250,14g,28g,4g,,"28,00g"
Roti Stick Choco Chip,1 potong (70 g),300,13g,40g,5g,,"40,00g"
Prime Duo,1 porsi (55 g),200,7g,29g,5g,,"4,0g"
Roti Sisir Original,1 potong (70 g),330,19g,38g,3g,,"9,00g"
Ropang Coklat,1 bungkus (65 g),230,7g,38g,5g,,"10,00g"
Roti Jagung,1 porsi (55 g),170,6g,30g,4g,,
Roti Tawar Tabur Gula,1 piece (78 g),210,"2,5g",40g,6g,,"40,00g"
Japanese Chicken Teriyaki Bread + Parmentiere Potato,1 serving,462,10g,52g,41g,,
Prime Choco,1 serving,170,5g,26g,5g,,140mg
Pocket Sandwich Chocolate,1 porsi (50 g),160,6g,22g,4g,,240mg
Roti Kok,100 g,437,10g,"74,8g","11,1g",,
