nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Mino Yogo,1 porsi (126 ml),30,"0,5g",7g,0g,,"4,00g"
Susu UHT Rasa Stroberi,1 porsi (200 g),120,"4,5g",17g,4g,,"4,00g"
Milk Green Tea,1 botol (310 ml),210,6g,25g,4g,,190mg
Blewah,1 porsi (11 g),45,0g,11g,0g,0mg,"0,00g"
Dancow Fortigro Instant,1 sachet (27 g),120,6g,14g,5g,,"14,00g"
Minuman Serbuk Rasa Lemon,2 sendok makan  (15 g),60,0g,14g,0g,,"0,000g"
Milo Sachet,1 sachet (22 g),90,"2,5g",16g,2g,,"16,00g"
Chocolate Taro (Botol),1 botol (200 ml),70,0g,15g,2g,,"2,00g"
Goodmood Lemon & Madu,1 botol (450 ml),45,0g,11g,0g,,"11,00g"
Activ Water (Isotonic + Vitamin),1 porsi (175 ml),40,0g,10g,0g,,35mg
Pocari Sweat,1 botol (500 ml),140,0g,34g,0g,,"34,00g"
Susu Putih Manis,1 porsi (180 ml),140,6g,16g,6g,,70mg
Waterlymon,1 botol (250 ml),60,0g,15g,0g,"15,00g","0,000g"
Royale Chloro Broccoli,1 porsi (250 ml),120,0g,29g,0g,,"0,0g"
Rich Choco,1 gelas (275 ml),238,"11,2g","9,7g",25g,,"3,00g"
Coco Pandan,1 porsi,50,0g,12g,0g,,"0,00g"
Kurma Water,1 botol (330 ml),130,0g,33g,0g,,"29,00g"
Alabama Sunrise,1 porsi (217 g),150,2g,26g,7g,,
Lemon Tea,1 bungkus (14 g),60,0g,14g,0g,,"0,00g"
Ichi Ocha Teh Melati,1 porsi (240 ml),80,0g,19g,0g,,"18,00g"
Pulpy Jambu,1 botol (300 ml),90,0g,23g,0g,,"0,00g"
My Tea Less Sugar,1 porsi (225 ml),40,0g,9g,0g,0mg,"0,00g"
Gold Premium Mix,1 sachet (20 g),90,2g,16g,1g,,
Hydromamma,1 sachet (18 g),70,0g,17g,0g,25mg,"0,00g"
Jus Jambu,1 kemasan (250 ml),120,0g,30g,0g,,"4,0g"
Sereal Coklat,1 porsi (125 ml),110,3g,17g,2g,,"17,00g"
Susu UHT Strawberry,1 kotak (125 ml),160,4g,12g,4g,150mg,"0,000g"
Teh Javana Gula Batu,1 porsi (175 ml),60,0g,14g,0g,0mg,"0,00g"
Milky Jelly,100 ml,110,2g,22g,1g,,
Cold Crunchy,1 porsi (32 g),130,2g,27g,1g,,"1,0g"
Frestea Apel,1 (250 g),100,0g,24g,0g,,"23,00g"
Tesona,1 sachet (15 g),60,0g,15g,0g,,"0,00g"
Kaleng,1 kaleng (330 ml),80,0g,20g,0g,,
Minuman Susu Fermentasi,1 botol (130 ml),70,0g,15g,1g,,"15,00g"
Yogurt Raspberry & Lychee,1 porsi (125 g),140,4g,22g,4g,,"4,00g"
Susu Steril Stroberi,1 botol (190 ml),130,4g,20g,4g,"20,00g","1,000g"
Malt Choco,1 botol (200 ml),190,"2,5g",40g,2g,,"40,00g"
Milk Tea Brown Sugar,1 porsi (250 g),150,5g,25g,1g,,"25,00g"
Good To Go Banana Strawberry (250ml),1 kotak (250 ml),170,"3,5g",29g,6g,110mg,15mg
Jelly Drink Big,1 gelas (220 ml),50,0g,13g,0g,0mg,"0,00g"
Meal Replacement Coklat,1 porsi (54 g),210,"1,5g",32g,14g,,"14,00g"
Pepsi Blue,1 botol (330 ml),150,0g,38g,0g,,25mg
Yo! Yogurt Raspberry Pumpkin,1 pak (200 ml),160,"3,5g",28g,3g,150mg,"3,00g"
WRP On The Go,100 ml,75,"1,5g",12g,"3,5g",,"3,0g"
Oat Choco (50g),1 bungkus (50 g),250,12g,33g,3g,,95mg
Diva Beauty Drink,100 ml,35,0g,8g,1g,,"1,00g"
Milku Stroberi,1 porsi (200 ml),150,4g,22g,6g,,"22,00g"
Drink Don Pedro,1 porsi (250 ml),220,10g,29g,4g,,"29,00g"
Bakmi Mewah Goreng Rasa Bulgogi,1 takaran saji (50 g),200,9g,24g,6g,,"24,00g"
Bear Brand Gold Malt Putih,1 kaleng (140 ml),110,"1,5g",19g,4g,,"4,00g"
Yogurt Vanilla,1 botol (250 ml),190,2g,38g,6g,,"24,00g"
Berry Dremio,1 porsi (125 ml),90,"2,5g",14g,2g,,"14,00g"
Kyoto Matcha,1 cup (275 ml),158,"3,4g","9,7g","22,2g",,"9,70g"
Yogurt Drink Lowfat Blueberry,1 botol (250 ml),200,2g,38g,7g,,"7,00g"
Chocodrink (Belgian Chocolate Taste),1 sachet (28 g),110,"2,5g",23g,2g,,100mg
Fanta Anggur,1 botol (250 ml),100,0g,25g,0g,,"25,00g"
Kopi Susu,1 sachet (31 g),130,"2,5g",27g,1g,,"2,0g"
