nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Bakso Daging Babi,1 sedang,47,"1,95g","1,33g","5,55g","0,14g","0,853g"
Sayuran Rebus (tanpa Daging),1 mangkok,134,"2,32g","23,25g","6,33g","4,61g","0,865g"
Daging Babi Hutan,100 gram (g),122,"3,33g",0g,"21,51g",,"1,3g"
Sosis tanpa Daging,1 ikatan,64,"4,54g","2,46g","4,63g",0g,"1,124g"
Daging Babi Giling (Dimasak),"1 unit, dimasak (hasil dari 450 g daging mentah)",930,"65,01g",0g,"80,41g",0g,"28,952g"
Daging Burung Dara,1 unit (hasil dari 450 g - burung dara siap dimasak),356,"18,82g",0g,"43,92g",128mg,"6,677g"
Daging Ayam (Panggang),100 gram (g),111,"2,7g",0g,"20,33g",0g,"0,83g"
Lasagna tanpa Daging,"1 buah (1/6 20 cm persegi, kira-kira 6,5 cm x 10 cm)",334,"10,1g","43,54g","17,62g","6,9g","2,683g"
Lasagna dengan Daging,"1 buah (1/6 20 cm persegi, kira-kira 6,5 cm x 10 cm)",336,"12,38g","35,43g","20,52g","5,6g","4,038g"
Pizza dengan Daging,1 buah (diameter 1/8 30 cm ),265,"12,14g","27,68g","10,64g","1,77g","5,269g"
Potongan Daging Babi Panggang,"1 kecil atau potongan tipis (85 g, dengan tulang, mentah) (hasil setelah masak, tulang dihilangkan)",118,"6,76g",0g,"13,27g",0g,"3,008g"
Daging,"1 ons, dengan tulang, dimasak (hasil setelah tulang dihilangkan)",66,"4,44g",0g,"6,07g",0g,"1,897g"
Sawi,"1 mangkok, dicincang",11,"0,15g","2,05g","0,88g","0,17g","0,011g"
Pizza Kerak Tipis dengan Daging,1 buah (diameter 1/8 30 cm ),223,"11,16g","20,56g","9,72g","1,65g","4,717g"
Enchilada tanpa Daging dengan Keju,100 gram (g),221,"13,64g","16,04g","9,74g","2,14g","4,153g"
Daging Babi Asap atau Diawetkan,1 irisan tipis (hasil setelah masak),27,"2,09g","0,07g","1,85g",0g,"0,926g"
Potongan Daging Domba (Daging dan Lemak Dimakan),"1 kecil (112 g, dengan tulang, mentah) (hasil setelah masak, tulang dihhilangkan)",226,"17,55g",0g,"15,86g",0g,"7,186g"
Kentang (Daging dan Kulit),"1 sedang (diameter 5,5 cm - 8 cm)",164,"0,19g","37,21g","4,3g","1,66g","0,004g"
Daging Babi Giling,100 gram (g),263,"21,19g",0g,"16,88g",56mg,"9,44g"
Daging Babi Asap (Diawetkan),3 irisan sedang (dikemas 20 per 450 g),311,"30,63g","0,45g","7,89g",0g,"3,423g"
"Daging Babi (Pinggang Bagian Atas, tanpa Tulang)",100 gram (g),144,"5,89g",0g,"21,35g",0g,"0,32g"
Irisan Daging Babi (Ekstra tanpa Lemak),3 porsi 1 iris,69,"1,8g","1,66g","10,89g",0g,"0,785g"
"Daging Dada  dan Kulit Kalkun (Dimasak, Dipanggang)",100 gram (g),189,"7,41g",0g,"28,71g",63mg,"2,45g"
"Daging Paha Ayam (Ayam Pedaging, Dipanggang, Dimasak)","1 paha, tulang dan kulit dihilangkan",109,"5,66g",0g,"13,49g",0g,"2,158g"
"Daging Dada Ayam (Ayam Pedaging, Dipanggang, Dimasak)","1/2 dada, tulang dan kulit yang dihilangkan",142,"3,07g",0g,"26,68g",0g,"1,066g"
Daging Dada dan Kulit Ayam (Ayam Pedaging),"1/2 dada, tulang dihilangkan (hasil dari 450 g-ayam siap untuk dimasak )",150,"8,05g",0g,"18,14g",0g,"1,705g"
Punggung Sapi,"1 irisan tipis (sekitar 11 cm x 6,5 cm x 0,3 cm)",72,"5,49g",0g,"5,22g",0g,"2,427g"
Daging Domba,100 gram (g),292,"20,77g",0g,"24,32g",0g,"8,747g"
"Kentang (Daging, tanpa Garam, Direbus)","1 kentang (diameter 6,5 cm , bulat)",118,"0,14g","27,38g","2,54g","1,18g","0,003g"
Daging Babi Asap Madu (Dimasak),100 gram (g),122,"2,37g","7,27g","17,93g",0g,"1,669g"
