nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Paddle Pop Shakyz Shake,1 porsi (150 ml),180,7g,26g,2g,,
Red Orange Ice Cream,100 ml,90,3g,15g,2g,,35mg
Frozen Berry,1 stik (55 ml),60,0g,14g,0g,,5mg
Minions Banana,1 porsi (90 ml),90,"2,5g",16g,1g,,"1,00g"
Double Cookie Choc,1 porsi (60 ml),160,7g,24g,1g,20mg,"1,000g"
Strawberry Crispy,1 kemasan saji (90 ml),100,6g,12g,1g,,"1,0g"
Feast Double,1 stick (75 ml),160,18g,19g,3g,,"19,00g"
Concerto Bold,1 cone (115 ml),250,11g,30g,3g,,55mg
Haku Matcha Monaka,1 porsi (90 ml),120,6g,14g,1g,,"9,00g"
Frost Bite,1 batang (65 ml),160,10g,15g,2g,,25mg
Lu Ve Litee Raspberry,100 ml,100,0g,23g,1g,,"15,00g"
Jujube White Chocolate,1 batang (80 g),170,11g,16g,1g,,"9,00g"
Cornetto Oreo,1 cone (110 ml),230,12g,28g,3g,85mg,"1,500g"
Frost Bite Choco Lava Mochi,1 bungkus (46 ml),120,1g,27g,1g,,25mg
Kelapa Jeruk,1 cangkir (90 ml),90,"1,5g",17g,1g,,"13,00g"
Waku Waku Sweet Lychee,1 sajian (60 ml),80,"2,5g",14g,1g,,"9,00g"
Asian Delight Coconut,1 porsi (63 ml),90,3g,14g,1g,25mg,"0,000g"
Es Krim Durian,1 cangkir (85 g),180,7g,28g,1g,,20mg
Happy Cone Taro,1 bungkus (45 g),90,3g,11g,2g,,"6,00g"
Hula Hula Tape Ketan,1 porsi (50 ml),90,4g,15g,1g,,
Magnum Red Velvet,1 porsi (80 ml),230,13g,24g,3g,,"24,00g"
Obor Strawberry,1 porsi (65 g),150,5g,26g,1g,,35mg
Haku Tiramisu,1 sajian per kemasan (110 ml),150,9g,17g,2g,,"13,00g"
Chocolate Sundae,100 ml,130,6g,17g,2g,0mg,"2,00g"
Paddle Pop Fruit Slice Yummy Melon,1 porsi (55 ml),50,0g,12g,0g,45mg,"0,000g"
Black Hojicha,100 ml,230,9g,34g,3g,0mg,"3,00g"
Naughty or Nuts,100 g,88,"8,1g",12g,"4,7g",,
