nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Ayam Serundeng,100 g,260.0,"14,55g","10,76g","21,93g",0mg,0mg
Ayam Geprek,100 g,263.0,"17,99g","7,6g","17,61g",0mg,0mg
"Chalupa dengan Daging Sapi, Keju, Selada, Tomat dan Krim Asam",1 porsi,482.0,"30,12g","32,48g","19,48g","1,95mg","14,507mg"
Udang Asam Manis,100 gram (g),269.0,"16,84g","25,12g","6,56g","22,44mg","5,591mg"
Roti Asam Adonan Panggang,1 irisan sedang,69.0,"0,76g","12,97g","2,21g","0,06mg","0,304mg"
Krim Asam Bebas Lemak,1 sdm,12.0,0g,"2,5g","0,5g","0,06mg",0mg
Salad Bayam,1 mangkok,107.0,"4,82g","11,2g","5,11g","1,28mg","2,168mg"
"Bayam Dimasak (dari Beku, Lemak tidak Ditambahkan dalam Masakan)","1 mangkok, beku, helai",61.0,"0,95g","9,75g","7,58g","0,97mg",0mg
Lasagna dengan Daging dan Bayam,"1 buah (1/8 18 cm x 30 cm, kira-kira 9 cm x 10 cm)",353.0,"12,92g","37,49g","21,88g","5,89mg","4,188mg"
Roti Adonan Asam,100 gram (g),274.0,3g,"51,9g","8,8g","0,24mg","1,215mg"
"Taco atau Tostada dengan Ayam, Keju, Selada, Tomat dan Salsa",1 taco atau tostada,142.0,"7,05g","9,84g","10,11g","0,98mg","2,449mg"
Ikan Gurame Asam Manis,100 gram (g),194.0,"10,16g","12,44g","12,54g","0,5mg","2,877mg"
"Taco Lembut dengan Daging Sapi, Keju, Selada, Tomat dan Krim Asam",1 taco,304.0,"16,33g","23,91g","14,66g","1,44mg","6,239mg"
Kentang Panggang Diisi dengan Krim Asam (Kulit Dimakan),1 sedang,316.0,16g,"39,11g","6,14g","2,12mg","5,242mg"
Keju Isi Tortelini dengan Saus Asam,1 mangkok,390.0,"18,55g","38,9g","16,15g","4,03mg","6,62mg"
Bayam Dimasak (dari Segar),"1 mangkok, segar",74.0,"4,16g","6,81g","5,33g","0,78mg","1,756mg"
Sayur Bening Bayam,100 gram (g),36.0,"0,37g","7,64g","1,79g","2,82mg","0,071mg"
Krim Asam dengan Lemak telah Dikurangi,1 sdm,29.0,"2,26g","1,12g","1,12g","0,05mg","0,656mg"
Sup Pedas dan Asam,1 mangkok,163.0,"7,91g","4,95g","15,1g","1,59mg","3,37mg"
Spageti dengan Saus Tomat dan Ayam atau Kalkun,1 mangkok,310.0,"5,58g","49,43g","14,41g","10,24mg","1,672mg"
"Sandwich Ayam dengan Keju Ala Fajita, Selada dan Tomat Diatas Roti Pita",1 sandwich pita,310.0,"12,21g","28,13g","21,73g","4,02mg","3,999mg"
Kulit Kentang Goreng dengan Keju dan Daging Asap,"1 kulit dari sedang (diameter 5,5 cm - diameter 7,5 cm, mentah)",167.0,"7,91g","18,14g","6,03g","0,81mg","3,507mg"
Garang Asem Ayam,1 potong,127.0,"8,19g","5,84g","8,57g","1,1mg","0,911mg"
Ayam Masak Merah,100 gram (g),131.0,"4,31g","7,53g","16,01g",2mg,"0,814mg"
"Bayam (Cincang atau Daun, Beku)",1 mangkok,48.0,"1,17g","6,75g","6,15g","1,36mg",0mg
"Salad Hijau Ayam atau Kalkun Oriental (Ayam dan/atau Kalkun, Selada, Buah, Kacang-Kacangan)",1 mangkok,102.0,"4,76g","5,09g","9,75g","3,09mg","1,964mg"
"Ayam atau Kalkun dan Sayuran dengan Kecap Kedelai (Termasuk Wortel, Brokoli, dan/atau Sayur Berdaun Hijau Tua, tanpa Kentang, Campuran)",1 mangkok,180.0,"8,59g","9,28g","15,86g","2,12mg","2,976mg"
Salad Makaroni atau Pasta dengan Ayam,1 mangkok,391.0,"23,61g","26,55g","17,89g","3,33mg","6,243mg"
Ayam atau Kalkun Manis dan Asam,1 mangkok,224.0,"6,12g","28,3g","15,35g","16,88mg","1,93mg"
Ikan Belanak Goreng,100 gram (g),169.0,"9,2g","2,51g",18g,"0,22mg","4,295mg"
