Nama,Energy (kCal),Carbohydrates (g),Protein (g),Total Fat (g)
Starbucks Ham & Cheese Savoury Foldover,250,24,13,11
Starbucks Pepperoni and Tomato Savoury Foldover,270,27,10,14
Starbucks Spinach Savoury Foldover,250,23,4,15
Starbucks Morning Bun,350,54,7,15
Starbucks Cheese Danish,300,35,6,15
Starbucks Baa Loaf,380,52,5,17
Starbucks Lemon Loaf,430,57,6,20
Starbucks Reduced Fat Cinnamon Swirl Coffee Cake,370,67,5,9
Starbucks Birthday Cake Pop,180,24,1,9
Starbucks Blueberry Yogurt and Honey Muffin,380,53,6,16
Starbucks Blueberry Scone,360,50,5,15
Starbucks Cranberry Orange Scone,420,64,6,15
Starbucks Pumpkin Cream Cheese Muffin,350,53,5,14
Starbucks Pumpkin Bread,410,63,6,15
Starbucks Pumpkin Scone,450,64,4,21
Starbucks Apple Poundcake,360,44,5,18
Starbucks Pumpkin Sugar Cookie,330,37,4,19
Starbucks Pecan Tart,330,39,4,18
Starbucks Greek Yogurt & Honey Parfait,310,36,13,12
Starbucks Strawberry Blueberry Yogurt Parfait,310,51,10,5
Starbucks Seasonal Fruit Cup,80,20,1,0
McDonalds McVeggie™ Burger,402.05,56.54,10.24,13.83
McDonalds McAloo Tikki Burger®,339.52,50.27,8.5,11.31
McDonalds McSpicy™ Paneer Burger,652.76,52.33,20.29,39.45
McDonalds Spicy Paneer Wrap,674.68,59.27,20.96,39.1
McDonalds American Veg Burger,512.17,56.96,15.3,23.45
McDonalds Veg Maharaja Mac,832.67,93.84,24.17,37.94
McDonalds Green Chilli Aloo Naan,356.09,46.36,7.91,15.08
McDonalds Pizza Puff,228.21,24.79,5.45,11.44
McDonalds Mc chicken Burger,400.8,47.98,15.66,15.7
McDonalds FILLET-O-FISH Burger,348.11,38.85,15.44,14.16
McDonalds Mc Spicy Chicken Burger,451.92,46.08,21.46,19.36
McDonalds Spicy Chicken Wrap,567.19,57.06,23.74,26.89
McDonalds Chicken Maharaja Mac,689.12,55.39,34,36.69
McDonalds American Chicken Burger,446.95,38.54,20.29,22.94
McDonalds Chicken Kebab Burger,357.05,47.9,8.64,14.02
McDonalds Green Chilli Kebab naan,230.95,31.06,5.67,9.32
McDonalds Mc Egg Masala Burger,290.42,32.89,12.45,12.27
McDonalds Mc Egg Burger for Happy Meal,282.98,31.32,12.29,12.21
