Nama,Energy (kCal),Carbohydrates (g),Protein (g),Total Fat (g)
"Kacang gude, biji, kering",316,"58,0","20,7","1,0"
"Kacang gude, biji, segar",114,"20,8","7,0","0,6"
"Kacang hijau var. bakti, kering",350,"70,7","17,1","1,8"
"Kacang hijau var. siwalik, kering",339,"64,6","20,8","2,1"
"Kacang hijau, kering",323,"56,8","22,9","1,5"
"Kacang hitam, kering",346,"66,1","16,6","1,7"
"Kacang kapri, segar",98,"17,7","6,7","0,4"
"Kacang kedelai, kering",381,"24,9","40,4","16,7"
"Kacang kedelai, segar",286,"30,1","30,2","15,6"
"Kacang kincai, kering",444,"55,0","19,9","16,0"
"Kacang komak, segar",327,"55,8","16,4","4,3"
"Kacang kuning, kering",355,"66,0","17,0","2,5"
"Kacang lebui /iris, kering",346,"66,6","16,5","1,5"
"Kacang mentega, kering",344,"64,6","16,7","2,1"
"Kacang merah/banda, kering",350,"66,9","13,9","3,0"
"Kacang merah tua, kering",280,"63,2","16,7","1,6"
"Kacang merah, kering",314,"56,2","22,1","1,1"
"Kacang merah, segar",171,"28,0","11,0","2,2"
"Kacang mete/biji jambu monyet, segar",616,"28,7","16,3","48,4"
"Kacang panjang, biji, kering",357,"68,6","17,3","1,5"
Kacang tanah sangan,560,"24,1","29,5","43,0"
Kacang tanah sangan tanpa selaput,559,"23,6","26,9","44,2"
"Kacang tanah, kering",525,"17,4","27,9","42,7"
"Kacang tolo / tunggak, kering",331,"56,6","24,4","1,9"
"Kacang tunis, kering",351,"72,9","12,2","1,2"
"Kacang uci, kering",358,"60,6","23,4","2,4"
"Kacang urei, kering",354,"69,3","12,8","1,8"
"Kenari banda, kering",616,"13,7","13,9","56,2"
"Kenari, kering",657,"13,0","15,0","66,0"
"Komak polong, segar",99,"21,2","3,3","0,1"
"Koro andong, kering",356,"61,6","20,5","4,1"
"Koro benguk, biji, kering",332,"55,0","24,0","3,0"
"Koro kerupuk, biji, segar",125,"22,1","8,3","0,7"
"Koro loke, biji, segar",33,"7,9","2,7","0,2"
"Koro roay, kering",344,"69,4","12,5","2,1"
"Koro wedus, biji, kering",338,"61,0","22,2","1,5"
"Lamtoro biji, muda, segar",85,"15,4","5,7","0,3"
"Lamtoro biji, tua, segar",148,"26,2","10,6","0,5"
Lamtoro var. gung tanpa kulit,367,"32,5","46,4","5,4"
Lamtoro var. lokal dengan kulit,336,"59,7","23,8","1,2"
"Nangka, biji, segar",165,"36,7","4,2","0,1"
"Saga merah terkupas, mentah",449,"31,9","30,6","25,5"
"Wijen, mentah",568,"18,1","19,3","51,1"
"Bayam, kukus",30,"5,8","1,3","0,7"
"Bayam, rebus",23,"3,7","1,2","0,6"
"Buncis, rebus",30,"6,4","2,2","0,2"
"Daun kacang panjang, kukus",40,"8,0","3,7","0,3"
"Daun katuk, rebus",53,"9,1","5,3","0,9"
"Daun kelor, rebus",61,"10,0","6,1","0,9"
"Daun mengkudu, kukus",63,"11,5","3,8","1,5"
"Daun singkong, rebus",31,"4,8","3,7","0,6"
"Daun talas, rebus",27,"5,9","1,3","0,2"
"Daun ubi merah, kukus",56,"13,0","3,1","0,3"
"Kacang panjang, kukus",39,"7,6","3,0","0,6"
"Kacang panjang, rebus",30,"5,8","2,3","0,4"
"Kangkung, kukus",30,"4,7","3,2","0,7"
"Kangkung, rebus",22,"3,1","2,5","0,6"
"Paria putih, kukus",16,"3,4","0,8","0,2"
"Selada, rebus",19,"2,9","2,7","0,2"
"Taoge, goreng",88,"14,0","3,2","2,1"
"Taoge, seduh",28,"4,0","3,0","0,8"
"Terung panjang, kukus",23,"4,9","1,8","0,1"
"Wortel, rebus",28,"6,3","0,7","0,5"
"Wortel, kukus",37,"8,3","1,0","0,6"
"Asinan Bogor, sayuran",98,"14,8","3,9","2,6"
"Anyang, sayur",126,"10,3","3,4","7,9"
"Ares, sayur",113,"11,2","0,9","7,2"
Arwan sirsir,277,"10,7","2,4","25,0"
Beberuk,65,"3,5","1,1","5,2"
Botok lamtoro,186,"13,0","11,7","9,7"
Buntil daun talas,141,"8,0","4,4","10,2"
Cammetutu,102,"8,7","3,2","6,0"
"Cap cai, sayur",97,"4,2","5,8","6,3"
Gado-gado,137,"21,0","6,1","3,2"
"Gudeg, sayur",160,"16,0","3,3","9,2"
Gulai pakis,143,"6,0","4,0","11,4"
Gulai pliek,176,"3,2","7,3","14,9"
Kadada katembe,110,"7,1","4,5","6,9"
"Kaparende, sayur",38,"2,6","2,4","2,0"
"Karedok, sayur",92,"14,1","2,2","3,3"
Keripik bayam,586,"50,2","4,9","40,6"
Kotiu hinela tawang nggole,46,"6,0","2,2","1,5"
Lema/Rebung asam,15,"1,9","1,0","0,4"
Lilin bungkus gedi,79,"5,8","2,3","5,2"
Olah-olah,9,"7,1","2,1","6,0"
Paku hinela wulelenggapaya,77,"5,4","3,5","4,6"
Pelecing kangkung,75,"10,0","2,5","2,8"
Purundawa,25,"3,6","1,5","0,5"
Rujak cingur,153,"8,0","11,3","8,4"
Sayur asem,29,"5,0","0,7","0,6"
Sayur bunga pepaya,49,"9,8","1,7","0,3"
Sayur garu,178,"10,6","2,6","13,9"
Sayur kohu-kohu,133,"11,2","7,3","6,6"
Sayur lilin-terubuk,36,"4,8","2,7","0,7"
Sayur ndusuk,49,"3,6","3,1","2,5"
Sayur sop,27,"1,0","1,3","2,0"
Sayur umbut kelapa,67,"5,1","5,2","2,9"
Sayur umbut rotan,57,"3,1","5,4","2,6"
Shabu-shabu,88,"0,8","3,2","8,0"
Semur jengkol,212,"29,1","6,0","10,0"
Tinira ninahu nggaluku,33,"4,1","1,2","1,3"
Tumis bayam bersantan,48,"2,6","1,4","4,2"
Waluh balamak,45,"8,1","0,8","0,9"
Woku ubi,143,"15,0","3,1","7,8"
"Akar tonjong, segar",45,"10,8","1,1","0,4"
"Ale,toge, segar",37,"3,8","4,4","0,5"
"Andaliman, segar",99,"18,0","4,6","1,0"
"Andewi, segar",226,"5,3","1,6","0,2"
"Bakung, segar",27,"4,2","2,0","0,2"
"Baligo, segar",15,"3,0","0,4","0,2"
"Bawang bombay, segar",43,"10,3","1,4","0,2"
"Bayam, segar",16,"2,9","0,9","0,4"
"Bayam merah, segar",41,"6,3","2,2","0,8"
"Bit, segar",41,"9,6","1,6","0,1"
Buah kelor,38,"7,5","1,5","0,2"
Buah merah,87,"13,1","2,6","2,7"
"Buncis, segar",34,"7,2","2,4","0,3"
"Bunga pepaya, segar",45,"8,1","2,6","0,3"
"Bunga turi, segar",42,"6,1","2,0","1,1"
"Caisin, segar",20,"3,4","1,7","0,4"
"Daun bangun-bangun, segar",27,"4,0","1,3","0,6"
"Daun bawang merah, segar",41,"7,8","2,0","0,3"
"Daun bebuas, segar",41,"7,3","2,7","1,0"
"Daun belem, segar",50,"7,8","4,4","1,4"
"Daun bluntas, segar",44,"9,4","1,8","0,5"
"Daun gandaria, segar",63,"14,0","3,1","0,3"
"Daun gedi besar, segar",58,"10,0","2,9","0,7"
"Daun gedi kecil, segar",61,"10,4","3,2","0,7"
"Daun gelang, segar",30,"5,8","1,3","0,7"
"Daun gunda bali, segar",50,"7,0","4,6","0,9"
"Daun gunda serang, segar",62,"9,2","4,2","0,9"
"Daun jambu mete muda, segar",78,"16,2","4,6","0,5"
"Daun jampang, segar",34,"5,3","3,8","0,5"
"Daun jawaw seluang, segar",93,"15,3","5,0","1,3"
"Daun jonghe, segar",27,"4,4","2,1","0,7"
"Daun kacang ma, segar",36,"6,8","2,9","0,6"
"Daun kacang panjang, segar",30,"5,8","3,1","0,3"
"Daun kasbi/singkong karet, segar",92,"10,9","4,0","3,6"
"Daun katuk, segar",59,"9,9","6,4","1,0"
"Daun kecipir, segar",52,"8,5","5,0","0,5"
"Daun kedondong, segar",59,"13,4","3,5","0,3"
"Daun kelor, segar",92,"14,3","5,1","1,6"
"Daun kemangi, segar",43,"7,5","5,5","0,3"
"Daun kenikir, segar",45,"6,6","3,7","0,5"
"Daun kesum, segar",48,"9,1","4,5","0,8"
"Daun kol sawi, segar",22,"3,6","2,1","0,5"
"Daun koro, segar",23,"3,7","3,0","0,3"
"Daun kubis, segar",51,"8,0","2,5","1,1"
"Daun kumak, segar",14,"2,3","1,3","0,3"
"Daun labu siam, segar",34,"4,7","4,0","0,4"
"Daun labu waluh/kuning, segar",34,"4,5","3,6","0,6"
"Daun lamtoro, segar",87,"14,4","8,3","1,8"
"Daun leilem, segar",76,"15,8","2,8","0,2"
"Daun leunca, segar",49,"8,1","4,7","0,5"
"Daun lobak, segar",30,"5,8","2,3","0,4"
"Daun lompong talas, segar",44,"7,4","3,0","0,8"
"Daun mangkokan, segar",57,"11,8","3,7","0,3"
"Daun matel ambon, segar",71,"11,5","6,8","1,6"
"Daun melinjo, segar",104,"21,3","5,0","1,3"
"Daun mengkudu, segar",65,"11,4","4,0","1,7"
"Daun ndusuk, segar",166,"38,8","1,7","0,5"
"Daun oyong, segar",22,"5,3","1,0","0,1"
"Daun pakis, segar",39,"6,9","4,5","0,4"
"Daun pakis longgiho, segar",54,"3,1","2,2","3,6"
"Daun pakis wambateu, segar",53,"7,2","3,4","1,2"
"Daun paku, segar",29,"6,5","3,4","0,1"
"Daun pangi,segar",104,"17,9","3,9","0,6"
"Daun pare, segar",49,"8,4","2,7","1,0"
"Daun pepaya, segar",87,"11,9","8,0","2,0"
"Daun pohpohan, segar",37,"6,9","2,5","0,8"
"Daun selasih, segar",62,"10,5","4,0","0,5"
"Daun semanggi, segar",45,"8,5","4,4","0,5"
"Daun simpur, segar",53,"7,6","3,2","2,5"
"Daun singkil, segar",68,"15,2","2,0","1,0"
"Daun singkong, segar",50,"7,1","6,2","1,1"
"Daun singkong ambon, segar",144,"25,2","12,7","1,2"
"Daun singkong ampenan, segar",50,"7,1","6,2","1,1"
"Daun singkong kopang, segar",74,"10,7","6,3","0,7"
"Daun sintrong, segar",36,"6,1","2,6","0,9"
"Daun talas, segar",59,"13,5","3,0","0,4"
"Daun tespong, segar",70,"13,9","2,9","0,3"
"Daun ubi kuning, segar",62,"11,1","3,7","0,3"
"Daun ubi merah, segar",48,"10,8","3,0","0,3"
"Daun ubi putih, segar",46,"8,2","2,8","0,2"
"Daun ubi tinta, segar",55,"11,9","1,7","0,1"
"Eceng, segar",19,"3,8","1,0","0,2"
"Gambas (oyong), segar",19,"4,1","0,8","0,2"
"Genjer, segar",35,"7,7","1,7","0,2"
"Jagung muda / semi, segar",35,"7,4","2,2","0,1"
Jamur encik,296,"62,0","9,4","1,1"
"Jamur kuping, kering",294,"64,6","16,0","0,9"
"Jamur kuping, segar",21,"0,9","3,8","0,6"
"Jamur merang, segar",30,"4,0","3,5","0,2"
"Jamur tiram, segar",30,"5,5","1,9","0,1"
Jamur sagu,48,"2,8","1,9","3,2"
"Jantung pisang, segar",32,"7,1","1,2","0,3"
"Jengkol, segar",192,"40,7","5,4","0,3"
"Jotang, segar",34,"7,1","1,9","0,3"
"Kabau, segar",130,"25,2","6,7","0,3"
"Kacang mekah, polong, segar",22,"3,4","1,1","1,0"
"Kacang panjang, segar",31,"5,3","2,3","0,1"
Kacang ranti polong,37,"7,9","3,1","0,2"
"Kalakai, segar",38,"6,6","2,4","0,2"
"Kangkung, segar",28,"3,9","3,4","0,7"
Kangkung tondano,43,"8,4","1,8","0,2"
"Kapri muda, segar",45,"9,0","3,3","0,2"
Karawila,25,"3,5","2,3","0,2"
"Kecipir muda, segar",32,"5,8","2,9","0,2"
"Kecombrang, segar",34,"6,7","0,9","1,0"
"Kelawi,kluwih, segar",118,"27,2","1,5","0,3"
"Kembang turi, segar",51,"9,6","1,8","0,6"
"Kerokot, segar",26,"3,8","1,7","0,4"
"Ketimun, segar",8,"1,4","0,2","0,2"
"Ketimun krai, segar",10,"2,0","0,5","0,2"
"Ketimun madura, segar",9,"1,9","0,5","0,1"
"Komak, segar",99,"21,2","3,3","0,1"
Kembang Kol,25,"4,9","2,4","0,2"
"Kol merah, kol putih",29,"5,3","1,4","0,2"
"Koro kerupuk, polong",128,"22,1","8,3","0,7"
"Koro wedus, polong",46,"7,9","3,0","0,3"
"Kucai, segar",45,"10,3","2,2","0,3"
"Kucai muda (Lokio), segar",42,"7,8","3,8","0,6"
Kulit melinjo,111,"20,7","4,5","1,1"
"Kundur, segar",22,"4,7","0,4","0,2"
"Labu air, segar",19,"3,8","0,6","0,2"
"Labu kuning, segar",51,"10,0","1,7","0,5"
"Labu siam, segar",30,"6,7","0,6","0,1"
"Labu waluh, segar",32,"6,6","1,1","0,1"
"Lantar, segar",34,"5,5","2,2","0,3"
"Lobak, segar",21,"4,2","0,9","0,1"
"Lumai/Leunca, segar",38,"7,6","1,1","0,3"
"Melinjo, segar",66,"13,3","5,0","0,7"
Mostarda metan - sawi hijau,33,"4,7","2,3","0,5"
"Nangka muda, segar",57,"11,3","2,0","0,4"
"Paria putih, segar",19,"3,6","1,0","0,4"
"Pepare ular, segar",19,"3,9","0,6","0,1"
"Pepaya muda, segar",29,"4,9","2,1","0,1"
"Petai, segar",92,"15,2","5,4","1,1"
"Peterseli, segar",53,"9,0","3,7","1,0"
"Pucuk lumai/daun leunca, segar",33,"2,8","4,5","0,4"
"Putri malu, segar",76,"14,6","3,6","0,3"
"Rebung, segar",25,"5,3","0,8","0,1"
"Rimbang, segar",75,"15,8","1,6","0,6"
Rumput laut,41,"8,1","1,4","0,3"
"Sawi, segar",28,"4,0","2,3","0,3"
"Sawi putih / pecai, segar",9,"1,7","1,0","0,1"
"Sawi taiwan, segar",30,"4,4","1,9","0,5"
"Sawi tanah, segar",19,"2,9","1,3","0,2"
"Selada, segar",18,"2,9","1,2","0,2"
"Selada air, segar",17,"2,2","3,1","0,2"
"Seledri, segar",23,"4,6","1,0","0,1"
"Taoge, segar",34,"4,3","3,7","1,2"
"Taoge kacang kedelai, segar",76,"6,4","9,0","2,6"
"Taoge kacang tunggak, segar",40,"5,8","5,0","0,2"
"Tebu terubuk (lilin), segar",30,"3,0","4,6","0,4"
"Tekokak, segar",34,"7,9","2,0","0,1"
"Tekokak, kering",302,"72,6","8,3","1,7"
"Terong, segar",28,"5,5","1,1","0,2"
"Terong asam, segar",37,"6,3","2,0","0,4"
"Terung belanda, segar",52,"8,6","2,1","1,1"
"Terung bengkulu, segar",52,"11,2","1,1","0,4"
"Terong hintalo, segar",45,"7,5","1,9","0,8"
Terung panjang,25,"5,3","2,1","0,1"
"Tomat, air (sari), segar",20,"3,5","1,0","0,2"
"Tomat merah, segar",24,"4,7","1,3","0,5"
"Tomat muda, segar",24,"3,3","2,0","0,7"
"Uceng/ bunga melinjo, segar",82,"11,7","5,8","1,3"
"Umbut kelapa, segar",39,"7,2","2,0","0,2"
Umbut rotan,34,"5,5","2,4","0,3"
"Wortel, segar",36,"7,9","1,0","0,6"
Barongko,159,"23,5","3,1","5,8"
Dodol nanas,338,"80,3","1,5","1,2"
Getuk pisang,144,"34,1","1,1","0,4"
Keripik lampung,485,"69,7","1,7","22,2"
Ledre pisang,405,"84,9","4,8","5,1"
Lempog durian,320,"63,7","3,5","5,7"
Loka anjoro,163,"30,0","1,1","4,3"
Rica-rica taipa,49,"10,0","1,6","0,3"
Rujak aceh,82,"19,7","0,4","0,3"
Sale kesemek,296,"71,4","1,1","0,6"
Sale pisang siam,281,"66,1","2,4","0,7"
"Sale pisang, cilacap",295,"66,9","2,3","2,1"
Sanggara belanda,242,"38,2","6,4","7,1"
Tepung Pisang,338,"80,6","2,9","0,4"
Tepung Sukun,353,"84,4","2,9","0,5"
"Alpukat, segar",85,"7,7","0,9","6,5"
"Anggur hutan, segar",30,"6,8","0,5","0,2"
"Apel malang, segar",57,"12,8","0,5","0,4"
"Apel, segar",58,"14,9","0,3","0,4"
"Arbai, segar",37,"8,3","0,8","0,5"
"Belimbing, segar",36,"8,8","0,4","0,4"
"Biwah, segar",51,"12,1","0,3","0,1"
"Buah atung, segar",23,"5,2","0,8","0,2"
"Buah kelenting, segar",110,"21,4","1,4","2,1"
"Buah kom, segar",264,"59,6","4,0","1,1"
"Buah mentega (Bisbul), segar",39,"9,7","0,7","0,2"
"Buah Naga Merah, segar",71,"9,1","1,7","3,1"
"Buah Naga Putih, segar",56,"10,9","0,8","1,0"
"Buah negri, segar",55,"12,2","1,2","0,1"
"Buah nona, segar",101,"25,2","1,7","0,6"
"Buah rotan, segar",78,"18,2","0,6","0,3"
"Buah rukam, segar",113,"26,8","0,8","0,3"
"Buah ruruhi, segar",29,"3,6","2,1","0,7"
"Buah tuppa, segar",67,"15,9","0,4","0,2"
"Carica papaya, segar",24,"3,7","1,9","0,2"
"Cempedak, segar",116,"28,6","3,0","0,4"
"Duku, segar",63,"16,1","1,0","0,2"
"Durian, segar",134,"28,0","2,5","3,0"
"Duwet, segar",80,"18,2","0,5","0,6"
"Embacang, segar",98,"25,4","1,4","0,2"
"Encung asam, segar",122,"17,5","3,5","4,5"
"Erbis, segar",70,"18,9","0,6",0
Gandaria masak,68,"18,0","0,7","0,1"
"Gatep, segar",191,"39,7","4,5","1,5"
"Jambu air, segar",46,"11,8","0,6","0,2"
Jambu biji,49,"12,2","0,9","0,3"
Jambu biji putih tidak berbiji,61,"15,4","0,9","0,3"
"Jambu bol, segar",49,"9,6","2,3","0,2"
"Jambu monyet, segar",64,"15,8","0,7","0,6"
"Jeruk bali, segar",48,"12,4","0,6","0,2"
"Jeruk banjar, segar",61,"14,1","0,8","0,2"
Jeruk garut-keprok,44,"10,9","0,8","0,3"
"Jeruk Kalamansi, segar",39,"8,9","0,3","0,3"
"Jeruk manis, segar",45,"11,2","0,9","0,2"
"Jeruk nipis, segar",44,"10,0","0,5","0,2"
"Jeruk ragi, segar",49,"11,1","0,7","0,2"
"Kawista, segar",120,"20,8","3,5","2,5"
"Kedondong masak, segar",46,"10,3","1,0","0,1"
"Kedondong, segar",47,"10,4","0,5","0,2"
"Kelapa hutan, kering",623,"36,5","2,0","52,1"
"Kelapa muda, daging, segar",68,"14,0","1,0","0,9"
"Kemang, segar",48,"11,9","1,0","0,2"
"Kesemek, segar",78,"20,0","0,8","0,4"
"Kokosan, segar",86,"13,0","1,6","0,2"
"Kranji, segar",315,"73,5","2,1","1,4"
"Langsat, segar",56,"14,3","0,9","0,2"
"Lemon, segar",34,"6,2","0,5","0,8"
"Lontar, segar",27,"6,0","0,4","0,2"
"Mangga, segar",52,"12,3","0,7",0
"Mangga benggala, segar",63,"12,4","2,4","0,4"
"Mangga gedung, segar",44,"11,2","0,7","0,2"
"Mangga golek, segar",63,"16,7","0,5","0,2"
"Mangga harumanis, segar",46,"11,9","0,4","0,2"
"Mangga indramayu, segar",72,"18,7","0,8","0,2"
"Mangga kopek, segar",56,"14,6","0,4","0,2"
"Mangga kwini, segar",86,"19,8","0,7","0,5"
"Mangga manalagi, segar",133,"32,1","1,0","0,1"
"Mangga muda, segar",59,"15,1","0,5","0,4"
"Manggis, segar",63,"15,6","0,6","0,6"
"Markisa, segar",144,"29,8","3,5","1,2"
"Matoa, segar",90,"21,1","1,2","0,1"
"Melon, segar",37,"7,8","0,6","0,4"
"Menteng, segar",65,"16,1","1,7","0,3"
"Nanas palembang, segar",58,"13,3","0,7","0,2"
"Nanas, segar",40,"9,9","0,6","0,3"
"Nangka masak pohon, segar",106,"27,6","1,2","0,3"
"Pala, daging, segar",42,"10,9","0,3","0,2"
"Pepaya, segar",46,"12,2","0,5","12,0"
"Pisang ambon, segar",108,"24,3","1,0","0,8"
"Pisang angleng (pisang ampyang), segar",68,"17,2","1,3","0,2"
"Pisang ayam, segar",120,"26,8","1,1","0,2"
"Pisang gapi, segar",127,"31,1","2,1","0,3"
"Pisang goroho, segar",115,"27,9","1,9","0,2"
"Pisang hijau, segar",117,"28,9","2,0","0,3"
"Pisang kayu, segar",100,"23,6","1,4","0,5"
"Pisang kepok, segar",109,"26,3","0,8","0,5"
"Pisang ketip, segar",145,"34,5","1,1","0,3"
"Pisang kidang, segar",96,"22,5","1,0","0,2"
"Pisang lampung, segar",99,"25,6","1,3","0,2"
"Pisang mas bali ampenan, segar",92,"21,0","1,4","0,2"
"Pisang mas bali kopang, segar",127,"31,8","1,4","0,2"
"Pisang mas, segar",127,"33,6","1,4","0,2"
"Pisang raja sereh, segar",108,"28,2","1,3","0,3"
"Pisang raja, segar",120,"31,8","1,2","0,2"
"Pisang rotan, segar",98,"20,5","1,3","1,2"
"Pisang talas, segar",113,"26,7","1,2","0,2"
Pisang tujuh bulan,94,"22,5","0,6","0,2"
"Pisang ua, segar",128,"30,2","0,8","0,5"
"Pisang uli, segar",134,"35,5","1,1","0,5"
"Purut, segar",76,"15,2","4,1","1,1"
"Rambutan binjai, segar",76,"18,0","0,5","0,2"
"Rambutan, segar",69,"18,1","0,9","0,1"
"Salak bali, segar",57,"13,6","0,5","0,1"
"Salak medan, segar",55,"12,8","0,4","0,2"
"Salak pondoh, segar",87,"20,1","0,8","0,4"
"Salak, segar",77,"20,9","0,4",0
"Sawo duren, segar",64,"8,0","1,0","3,1"
"Sawo kecik, segar",111,"21,6","0,9","2,3"
"Sawo Manila, segar",92,"22,4","0,5","1,1"
"Semangka, segar",28,"6,9","0,5","0,2"
"Sirsak, segar",65,"16,3","1,0","0,3"
"Sowa, segar",48,"9,1","1,6","0,6"
"Srikaya, segar",63,"13,9","1,1","0,5"
"Sukun muda, segar",119,"28,1","1,4","0,2"
"Sukun tua, segar",126,"24,5","1,6","0,2"
"Vigus, segar",44,"8,3","2,4","0,1"
"Wani, segar",74,"17,1","0,8","0,3"
"Mentimun Suri, segar",16,"2,1","1,3","0,0"
"Blewah, segar",34,"8,2","0,8","0,2"
"Ayam, ampela, goreng",270,"9,9","32,3","11,2"
"Ayam, usus, goreng",473,"13,9","45,2","26,3"
"Bebek, daging, goreng",300,"4,5","24,0","20,7"
"Buaya, daging, dendeng, mentah",365,"30,8","49,6","4,8"
Ham,384,"0,3","16,9","35,0"
"Itik alabio, daging, dendeng, mentah",496,"18,4","30,3","33,5"
Kerupuk urat,588,"1,2","53,7","40,9"
"Menjangan, daging, dendeng, mentah",322,"22,7","55,8","2,0"
"Punai, daging, goreng",224,"4,4","26,2","11,3"
"Rusa, daging, dendeng, mentah",536,0,"40,5","41,5"
"Sapi, abon",212,"59,3","18,0","10,6"
"Sapi, abon, asli",358,"38,6","14,6","16,1"
"Sapi, daging, asap",182,0,"32,0","6,0"
"Sapi, daging, dendeng, mentah",301,0,"55,0","9,0"
"Sapi, daging, kornet",289,0,"16,0","25,0"
"Sapi, daging, sosis (Worst)",448,"2,3","14,5","42,3"
"Sapi, hati, sosis (liverworst)",274,"3,0","16,0","22,0"
"Sapi, paru, dendeng, mentah",360,"19,2","57,3","6,0"
"Sapi, paru, goreng",268,"14,5","23,9","12,7"
"Ulat sagu, panggang",380,"14,9","11,9","30,3"
"Ayam goreng church texas, dada",338,"0,4","35,2","20,6"
"Ayam goreng church,texas paha",287,"1,7","31,0","15,7"
"Ayam goreng church texas, sayap",295,"1,5","34,0","16,0"
"Ayam goreng kalasan, paha",275,"1,3","37,4","12,2"
"Ayam goreng kentucky, dada",298,"0,1","34,2","16,8"
"Ayam goreng Kentucky, paha",286,"1,1","32,1","16,1"
"Ayam goreng Kentucky,sayap",297,"1,6","35,9","15,2"
Ayam goreng mbok berek dada,295,"1,0","39,2","13,6"
"Ayam goreng pasundan, dada",246,"0,7","37,9","9,0"
"Ayam goreng pasundan, paha",245,"0,3","33,1","11,4"
"Ayam goreng pioneer, dada",295,"0,6","37,4","14,7"
"Ayam goreng sukabumi, dada",244,"1,0","36,7","9,2"
"Ayam goreng sukabumi, paha",283,"0,5","35,7","14,3"
"Ayam taliwang, masakan",264,"2,7","18,2","20,1"
"Babi hutan masak rica, masakan",491,"0,2","24,6","16,3"
Beef burger,258,"32,5","10,6","9,5"
"Beef teriyaki, masakan",151,"22,3","8,6","3,1"
"Beef yakiniku, masakan",132,"20,7","9,8","1,1"
Brongkos,141,"12,6","15,3","3,3"
"Bulgogi, masakan",72,"1,4","11,4","4,9"
"Chicken teriyaki, masakan",168,"7,5","13,0","9,6"
"Chikiniku, masakan",143,"22,8","9,8","1,4"
"Coto mangkasara, kuda, masakan",96,"3,8","6,8","5,9"
"Coto mangkasara, sapi, masakan",84,"1,4","6,0","6,0"
"Djibokum, masakan",248,"40,9","10,0","2,3"
"Empal (daging) Goreng, masakan",248,"10,1","36,2","6,9"
Gulai kambing,126,"6,2","4,2","9,4"
"Jangang bintatoeng, masakan",107,"16,5","5,3","2,2"
"Kalio ayam, masakan",203,"4,4","16,0","13,5"
"Kalio jeroan, masakan",163,"4,1","16,5","9,0"
"Kalio kikil (tunjang), masakan",122,"3,9","13,8","5,7"
"Kalio otak, masakan",157,"11,4","8,1","8,8"
"Lawar babi, masakan",174,"3,0","17,0","10,0"
"Lawar penyu, masakan",141,"7,6","23,0","1,5"
"Lawara jangang, masakan",159,"10,1","5,0","10,9"
"Naan maran sapi, masakan",478,"5,1","38,3","33,9"
"Nasu likku, masakan",196,"15,9","14,5","8,3"
"Oramu ninahu ndawa olaho, masakan",117,"4,3","13,7","5,0"
"Paniki masak santan, masakan",460,"7,2","28,5","35,2"
"Pelolah manuk, masakan",219,"4,4","19,7","13,6"
"Rawon, masakan",60,"4,0","5,4","2,5"
"Rendang sapi, masakan",193,"7,8","22,6","7,9"
"RW, anjing, masakan",198,"0,9","24,6","10,7"
"Sate, penyu, masakan",179,"13,3","22,5","3,5"
"Sate pusut, masakan",274,"13,6","12,9","18,6"
"Penyu, serapah, masakan",174,"2,2","13,1","12,2"
"Sie reuboh, masakan",474,"11,7","11,2","42,5"
"Sop buntut, masakan",71,"2,2","7,5","3,6"
"Sop daging sapi, masakan",49,"5,3","5,8","0,5"
"Sop kaki sapi, masakan",68,"3,7","9,0","1,9"
"Sop kambing, masakan",34,"1,1","5,5","0,8"
"Sop konro, masakan",71,"4,5","7,4","2,6"
"Sop saudara, masakan",89,"3,9","7,2","5,0"
"Soto bandung, masakan",42,"2,8","3,9","1,7"
"Soto banjar, masakan",110,"3,2","2,9","9,5"
"Soto betawi, masakan",135,"11,5","2,5","8,8"
"Soto jeroan, masakan",92,"1,4","11,8","4,3"
"Soto kudus, masakan",38,"1,8","2,6","2,3"
"Soto madura, masakan",60,"1,3","3,5","4,5"
"Soto padang, masakan",127,"11,0","5,9","6,6"
"Soto pekalongan, masakan",94,"5,1","3,0","6,8"
"Soto pemalang, masakan",75,"3,5","3,6","5,2"
"Soto sukaraja, masakan",80,"9,0","3,2","3,5"
"Soto sulung, masakan",86,0,"2,3","8,5"
"Sukiyaki, masakan",75,"12,2","5,6","0,4"
"Tedong pallu basa, masakan",83,"2,8","10,4","3,4"
"Tikus rica, masakan",257,"3,8","18,8","18,5"
"Tinoransa, masakan",516,0,"17,7","49,5"
"Anak sapi, daging, gemuk, segar",184,0,"18,8","14,0"
"Anak sapi, daging, kurus, segar",174,0,"19,6","10,0"
"Anak sapi, daging, sedang, segar",190,0,"19,1","12,0"
"Angsa, daging, segar",349,0,"16,4","31,5"
"Ayam, daging, segar",298,0,"18,2","25,0"
"Ayam, dideh/darah, segar",75,"0,7","13,8","1,9"
"Ayam, hati, segar",261,"1,6","27,4","16,1"
"Babi, daging, gemuk,segar",453,0,"11,9","45,0"
"Babi, daging, kurus, segar",371,0,"14,1","35,0"
"Babi, ginjal, segar",110,"0,8","16,3","4,6"
"Babi, hati, segar",129,"1,7","19,7","4,8"
"Bebek (itik), daging, segar",321,0,"16,0","28,6"
"Bebek alabio, daging, segar",303,"3,7","11,3","27,0"
"Belibis, daging, segar",131,"2,8","20,2","4,3"
"Burung, sarang, segar",281,"32,1","37,5","0,3"
"Domba, daging, gemuk, segar",317,0,"15,7","27,7"
